source;target;next_n;prev_n;next_e;distance
0;3;4;8;4;4
0;11;4;8;4;4
0;7;4;4;4;2
0;4;4;0;4;1
0;1;1;0;0;1
0;12;4;9;4;3
0;5;4;4;4;2
0;9;4;4;4;2
0;8;4;5;4;3
0;10;4;5;4;3
0;6;4;7;4;3
16;15;15;16;29;1.7
1;6;0;7;1;4
1;10;0;5;1;4
1;8;0;5;1;4
1;9;0;4;1;3
1;5;0;4;1;3
1;12;0;9;1;4
1;0;0;1;1;1
1;4;0;0;1;2
1;7;0;4;1;3
8;12;5;9;14;4
8;6;5;7;14;4
8;1;3;0;24;4
8;11;11;8;22;1
8;0;3;2;24;3
8;5;5;8;14;1
8;3;3;8;24;1
8;2;3;3;24;2
8;4;5;5;14;2
8;10;5;5;14;2
8;7;5;4;14;3
8;9;5;4;14;3
4;2;5;3;12;4
4;3;5;8;12;3
4;11;5;8;12;3
4;7;7;4;9;1
4;5;5;4;12;1
4;0;0;4;5;1
4;9;9;4;16;1
4;1;0;0;5;2
4;12;9;9;16;2
4;8;5;5;12;2
4;10;5;5;12;2
4;6;7;7;9;2
9;3;4;8;15;4
9;6;4;7;15;3
9;12;12;9;21;1
9;1;4;0;15;3
9;10;10;9;18;1
9;4;4;9;15;1
9;0;4;4;15;2
9;11;10;10;18;2
9;7;4;4;15;2
9;5;4;4;15;2
9;8;4;5;15;3
14;13;13;14;27;1.5
6;10;7;5;7;4
6;8;7;5;7;4
6;12;7;9;7;4
6;1;7;0;7;4
6;9;7;4;7;3
6;5;7;4;7;3
6;7;7;6;7;1
6;4;7;7;7;2
6;0;7;4;7;3
5;12;4;9;11;3
5;6;4;7;11;3
5;2;8;3;13;3
5;8;8;5;13;1
5;4;4;5;11;1
5;10;10;5;17;1
5;0;4;4;11;2
5;11;8;8;13;2
5;7;4;4;11;2
5;9;4;4;11;2
5;3;8;8;13;2
5;1;4;0;11;3
10;4;11;5;19;4
10;2;11;3;19;4
10;3;11;8;19;3
10;5;11;8;19;3
10;11;11;10;19;1
10;8;11;11;19;2
13;14;14;13;26;1.5
2;12;0;9;2;4
2;6;0;7;2;4
2;3;5;8;6;3
2;1;0;0;2;2
2;5;5;2;6;1
2;0;0;2;2;1
2;11;5;8;6;3
2;4;0;0;2;2
2;8;5;5;6;2
2;10;5;5;6;2
2;7;0;4;2;3
2;9;0;4;2;3
11;9;8;4;23;4
11;7;8;4;23;4
11;10;8;5;23;3
11;4;8;5;23;3
11;2;8;3;23;3
11;0;8;2;23;4
11;8;8;11;23;1
11;3;8;8;23;2
11;5;8;8;23;2
12;6;9;7;20;4
12;10;9;9;20;2
12;4;9;9;20;2
12;9;9;12;20;1
12;1;9;0;20;4
12;0;9;4;20;3
12;11;9;10;20;3
12;7;9;4;20;3
12;5;9;4;20;3
12;8;9;5;20;4
3;9;2;4;3;4
3;0;2;2;3;2
3;11;8;8;25;2
3;2;2;3;3;1
3;8;8;3;25;1
3;5;2;2;3;2
3;1;2;0;3;3
3;4;2;0;3;3
3;10;2;5;3;3
3;7;2;4;3;4
7;3;4;8;10;4
7;11;4;8;10;4
7;0;4;4;10;2
7;4;4;7;10;1
7;6;6;7;8;1
7;5;4;4;10;2
7;9;4;4;10;2
7;1;4;0;10;3
7;12;4;9;10;3
7;8;4;5;10;3
7;10;4;5;10;3
15;16;16;15;28;1.7
